Model,Target,R2,RMSE,MAE
LinearRegression,heating_load,0.9082715651475726,0.02900739907963832,0.020699354972936897
LinearRegression,cooling_load,0.8880757692409414,0.03118570298719382,0.023161496925369358
RandomForest,heating_load,0.9962470187970088,0.005867390494518366,0.003778924633038334
RandomForest,cooling_load,0.9600913544158485,0.0186220279323221,0.011687987515702072
GradientBoosting,heating_load,0.9986870334893602,0.003470432667449093,0.002550489487402226
GradientBoosting,cooling_load,0.9880374735898306,0.010195415605592721,0.006571448400472128
