target,model,holdout_r2,holdout_mae,holdout_rmse,cv_r2_mean,cv_mae_mean,cv_rmse_mean
Y1,Linear Regression,0.7816329959985615,0.040788554873888924,0.04716198977836969,0.12600053221401683,0.042394531809321796,0.0768451619943545
Y1,Random Forest,0.9850722562608744,0.005835754727672285,0.012330926171805845,0.9855582805188048,0.00635151604677336,0.011615167102750783
Y1,Gradient Boosting,0.9913434837573012,0.004932934522834258,0.009390099326016258,0.9923299998169142,0.004713856460571526,0.008413972390432612
Y2,Linear Regression,0.9383218875217714,0.016617967515588285,0.0235028008109708,0.8096699228424618,0.019944078196972047,0.05235138060859301
Y2,Random Forest,0.22462389979690855,0.023579805168294103,0.0833317088441599,0.604202516093968,0.017367903968398136,0.07075127783919002
Y2,Gradient Boosting,-4.10971932595524,0.035338185119882716,0.21392059861316645,0.8388297784496606,0.011424052431792387,0.04503021130175025
