target,model,holdout_r2,holdout_mae,holdout_rmse,cv_r2_mean,cv_mae_mean,cv_rmse_mean
Y1,LinearRegression,-0.029650197116122934,14.31031111818882,42.541513386924436,-0.6371543390415524,18.026907367359986,62.53929264622677
Y1,RandomForest,-0.261292470170291,9.532078205128196,47.084285412504606,-7.389210470247642,13.375541263440851,75.62487086517473
Y1,GradientBoosting,-2.3760982443972165,15.557644095105683,77.03278868363913,-24.598355538655742,15.098935786931872,93.7853382548058
Y2,LinearRegression,-0.0021806171880767167,19.565044097114452,69.49934838964022,-201.8046930658759,41.20466456076278,236.04838027837278
Y2,RandomForest,-1.0337762755037718,22.77739816129034,99.0055000736747,-65.08527176326655,39.081764951948614,220.7540735625045
Y2,GradientBoosting,-0.6963359828564959,20.110405046477364,90.41982674186153,-11.706235144632892,33.45123274883583,184.21103267294274
